Class,Lec Meeting Dates,Lab Meeting Dates,Credits,Semester,Lec Room,Lab Room,Instructor,Course Work Weight,اسم الملف,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
DS1D,Monday 2:00PM,Tuesday 12:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Prof Dr Tan Shing Chiang,60,TSW,,,,,,,
AS1C,Monday 2:00PM,Tuesday 4:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Prof Dr Tan Shing Chiang,60,TSW,,,,,,,
AB1B,Monday 2:00PM,Thursday 12:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Prof Dr Tan Shing Chiang,60,TSW,,,,,,,
A1A,Monday 2:00PM,Tuesday 8:00AM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Prof Dr Tan Shing Chiang,60,TSW,,,,,,,
DS2C,Tuesday 10:00AM,Wednesday 10:00AM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Prof Dr Tan Shing Chiang,60,TSW,,,,,,,
A2A,Tuesday 10:00AM,Tuesday 4:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Prof Dr Tan Shing Chiang,60,TSW,,,,,,,
AB2B,Tuesday 10:00AM,Wednesday 2:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Prof Dr Tan Shing Chiang,60,TSW,,,,,,,
DS1D,Monday 2:00PM,Tuesday 12:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Dr Goh Pey Yun,60,TML,,,,,,,
AS1C,Monday 2:00PM,Tuesday 4:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Dr Goh Pey Yun,60,TML,,,,,,,
AB1B,Monday 2:00PM,Thursday 12:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Dr Goh Pey Yun,60,TML,,,,,,,
A1A,Monday 2:00PM,Tuesday 8:00AM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Dr Goh Pey Yun,60,TML,,,,,,,
DS2C,Tuesday 10:00AM,Wednesday 10:00AM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Dr Goh Pey Yun,60,TML,,,,,,,
A2A,Tuesday 10:00AM,Tuesday 4:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Dr Goh Pey Yun,60,TML,,,,,,,
AB2B,Tuesday 10:00AM,Wednesday 2:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Dr Goh Pey Yun,60,TML,,,,,,,
DS1D,Monday 2:00PM,Tuesday 12:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Md. Shohel Sayeed,60,TWT,,,,,,,
AS1C,Monday 2:00PM,Tuesday 4:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Md. Shohel Sayeed,60,TWT,,,,,,,
AB1B,Monday 2:00PM,Thursday 12:00PM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Md. Shohel Sayeed,60,TWT,,,,,,,
A1A,Monday 2:00PM,Tuesday 8:00AM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Md. Shohel Sayeed,60,TWT,,,,,,,
DS2C,Tuesday 10:00AM,Wednesday 10:00AM,3,2610,MSMX0003-CLC L,MAMR5028-FOB,Md. Shohel Sayeed,60,TWT,,,,,,,
